Elapsed Time[s]	Write 0 [A]	
2.6380	0.842	
2.6382	0.842	
2.6384	0.842	
2.6386	0.842	
2.6388	0.842	
2.6390	0.843	
2.6392	0.843	
2.6394	0.843	
2.6396	0.843	
2.6398	0.844	
2.6400	0.843	
2.6402	0.844	
2.6404	0.843	
2.6406	0.844	
2.6408	0.844	
2.6410	0.844	
2.6412	0.843	
2.6414	0.843	
2.6416	0.843	
2.6418	0.843	
2.6420	0.844	
2.6422	0.844	
2.6424	0.844	
2.6426	0.843	
2.6428	0.844	
2.6430	0.843	
2.6432	0.843	
2.6434	0.843	
2.6436	0.843	
2.6438	0.843	
2.6440	0.842	
2.6442	0.843	
2.6444	0.843	
2.6446	0.843	
2.6448	0.843	
2.6450	0.843	
2.6452	0.842	
2.6454	0.841	
2.6456	0.843	
2.6458	0.842	
2.6460	0.843	
2.6462	0.843	
2.6464	0.842	
2.6466	0.842	
2.6468	0.843	
2.6470	0.843	
2.6472	0.844	
2.6474	0.843	
2.6476	0.843	
2.6478	0.843	
2.6480	0.843	
2.6482	0.843	
2.6484	0.843	
2.6486	0.844	
2.6488	0.843	
2.6490	0.842	
2.6492	0.843	
2.6494	0.842	
2.6496	0.843	
2.6498	0.842	
2.6500	0.842	
2.6502	0.843	
2.6504	0.842	
2.6506	0.843	
2.6508	0.843	
2.6510	0.843	
2.6512	0.842	
2.6514	0.842	
2.6516	0.843	
2.6518	0.842	
2.6520	0.842	
2.6522	0.841	
2.6524	0.842	
2.6526	0.842	
2.6528	0.842	
2.6530	0.843	
2.6532	0.842	
2.6534	0.842	
2.6536	0.842	
2.6538	0.842	
2.6540	0.843	
2.6542	0.843	
2.6544	0.842	
2.6546	0.842	
2.6548	0.842	
2.6550	0.843	
2.6552	0.842	
2.6554	0.843	
2.6556	0.844	
2.6558	0.843	
2.6560	0.842	
2.6562	0.844	
2.6564	0.842	
2.6566	0.842	
2.6568	0.842	
2.6570	0.842	
2.6572	0.842	
2.6574	0.843	
2.6576	0.841	
2.6578	0.842	
2.6580	0.843	
2.6582	0.843	
2.6584	0.843	
2.6586	0.842	
2.6588	0.843	
2.6590	0.843	
2.6592	0.842	
2.6594	0.843	
2.6596	0.840	
2.6598	0.843	
2.6600	0.843	
2.6602	0.843	
2.6604	0.843	
2.6606	0.844	
2.6608	0.843	
2.6610	0.843	
2.6612	0.844	
2.6614	0.843	
2.6616	0.843	
2.6618	0.841	
2.6620	0.843	
2.6622	0.842	
2.6624	0.843	
2.6626	0.844	
2.6628	0.843	
2.6630	0.843	
2.6632	0.843	
2.6634	0.843	
2.6636	0.843	
2.6638	0.843	
2.6640	0.843	
2.6642	0.842	
2.6644	0.843	
2.6646	0.844	
2.6648	0.842	
2.6650	0.843	
2.6652	0.841	
2.6654	0.844	
2.6656	0.844	
2.6658	0.843	
2.6660	0.843	
2.6662	0.843	
2.6664	0.843	
2.6666	0.843	
2.6668	0.843	
2.6670	0.843	
2.6672	0.843	
2.6674	0.843	
2.6676	0.842	
2.6678	0.843	
2.6680	0.843	
2.6682	0.842	
2.6684	0.843	
2.6686	0.843	
2.6688	0.843	
2.6690	0.843	
2.6692	0.843	
2.6694	0.843	
2.6696	0.843	
2.6698	0.843	
2.6700	0.843	
2.6702	0.842	
2.6704	0.843	
2.6706	0.842	
2.6708	0.842	
2.6710	0.842	
2.6712	0.841	
2.6714	0.843	
